sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
1960.0,pbarp,0.26,0.0,0.0,4.73,0.7290572367105345,0.7290572367105345,0.0,0.0,0.7290572367105345,0.7290572367105345,ins1117021
1960.0,pbarp,0.3,0.0,0.0,2.14,0.31645945332696257,0.31645945332696257,0.0,0.0,0.31645945332696257,0.31645945332696257,ins1117021
1960.0,pbarp,0.34,0.0,0.0,1.06,0.15706040112007866,0.15706040112007866,0.0,0.0,0.15706040112007866,0.15706040112007866,ins1117021
1960.0,pbarp,0.38,0.0,0.0,0.564,0.08414296557645208,0.08414296557645208,0.0,0.0,0.08414296557645208,0.08414296557645208,ins1117021
1960.0,pbarp,0.42,0.0,0.0,0.298,0.04513800775399819,0.04513800775399819,0.0,0.0,0.04513800775399819,0.04513800775399819,ins1117021
1960.0,pbarp,0.46,0.0,0.0,0.142,0.02206831901165107,0.02206831901165107,0.0,0.0,0.02206831901165107,0.02206831901165107,ins1117021
1960.0,pbarp,0.5,0.0,0.0,0.0746,0.011891558256174842,0.011891558256174842,0.0,0.0,0.011891558256174842,0.011891558256174842,ins1117021
1960.0,pbarp,0.54,0.0,0.0,0.0381,0.006562056458153953,0.006562056458153953,0.0,0.0,0.006562056458153953,0.006562056458153953,ins1117021
1960.0,pbarp,0.58,0.0,0.0,0.022,0.004363052142709276,0.004363052142709276,0.0,0.0,0.004363052142709276,0.004363052142709276,ins1117021
1960.0,pbarp,0.64,0.0,0.0,0.0104,0.00198313029324853,0.00198313029324853,0.0,0.0,0.00198313029324853,0.00198313029324853,ins1117021
1960.0,pbarp,0.72,0.0,0.0,0.0119,0.0024137988648601193,0.0024137988648601193,0.0,0.0,0.0024137988648601193,0.0024137988648601193,ins1117021
1960.0,pbarp,0.8,0.0,0.0,0.00928,0.00200891790334996,0.00200891790334996,0.0,0.0,0.00200891790334996,0.00200891790334996,ins1117021
1960.0,pbarp,0.88,0.0,0.0,0.0112,0.0023433147121118838,0.0023433147121118838,0.0,0.0,0.0023433147121118838,0.0023433147121118838,ins1117021
1960.0,pbarp,0.96,0.0,0.0,0.00811,0.0019010129577675162,0.0019010129577675162,0.0,0.0,0.0019010129577675162,0.0019010129577675162,ins1117021
1960.0,pbarp,1.04,0.0,0.0,0.00577,0.001542842044539881,0.001542842044539881,0.0,0.0,0.001542842044539881,0.001542842044539881,ins1117021
1960.0,pbarp,1.12,0.0,0.0,0.00573,0.0015397477112825983,0.0015397477112825983,0.0,0.0,0.0015397477112825983,0.0015397477112825983,ins1117021
1960.0,pbarp,1.2,0.0,0.0,0.00284,0.0017484988651983735,0.0017484988651983735,0.0,0.0,0.0017484988651983735,0.0017484988651983735,ins1117021
7000.0,pp,0.005149,0.0,0.0,465.0,27.0,27.0,21.0,21.0,34.20526275297414,34.20526275297414,ins1220862
7000.0,pp,0.006498,0.0,0.0,465.0,11.0,11.0,21.0,21.0,23.706539182259394,23.706539182259394,ins1220862
7000.0,pp,0.008177,0.0,0.0,437.5,5.0,5.0,19.1,19.1,19.7436065600994,19.7436065600994,ins1220862
7000.0,pp,0.009945,0.0,0.0,411.0,3.3,3.3,17.7,17.7,18.004999305748388,18.004999305748388,ins1220862
7000.0,pp,0.01173,0.0,0.0,402.3,2.9,2.9,17.3,17.3,17.541379649275026,17.541379649275026,ins1220862
7000.0,pp,0.01354,0.0009099999999999994,0.0009099999999999994,384.5,2.6,2.6,16.5,16.5,16.70359242797788,16.70359242797788,ins1220862
7000.0,pp,0.015369999999999998,0.0009199999999999989,0.0009200000000000007,378.0,2.4,2.4,16.2,16.2,16.376812876747415,16.376812876747415,ins1220862
7000.0,pp,0.01721,0.0,0.0,360.3,2.3,2.3,15.4,15.4,15.57080601638849,15.57080601638849,ins1220862
7000.0,pp,0.01908,0.0009399999999999999,0.0009399999999999999,348.1,2.2,2.2,14.9,14.9,15.061540425866141,15.061540425866141,ins1220862
7000.0,pp,0.02097,0.0009499999999999995,0.0009499999999999995,337.0,2.1,2.1,14.4,14.4,14.552319402761885,14.552319402761885,ins1220862
7000.0,pp,0.022879999999999998,0.000959999999999999,0.0009600000000000025,325.0,2.0,2.0,13.9,13.9,14.04314779527724,14.04314779527724,ins1220862
7000.0,pp,0.02481,0.0,0.0,307.9,1.9,1.9,13.1,13.1,13.23706916201619,13.23706916201619,ins1220862
7000.0,pp,0.026770000000000002,0.0009800000000000017,0.0009799999999999982,296.7,1.8,1.8,12.7,12.7,12.82692480682724,12.82692480682724,ins1220862
7000.0,pp,0.02875,0.0,0.0,285.9,1.8,1.8,12.2,12.2,12.332072007574396,12.332072007574396,ins1220862
7000.0,pp,0.03075,0.0010100000000000005,0.001009999999999997,275.3,1.7,1.7,11.7,11.7,11.82285921425101,11.82285921425101,ins1220862
7000.0,pp,0.03277,0.0,0.0,263.0,1.6,1.6,11.2,11.2,11.31370849898476,11.31370849898476,ins1220862
7000.0,pp,0.03483,0.0010300000000000031,0.0010300000000000031,252.0,1.6,1.6,10.7,10.7,10.818964830333815,10.818964830333815,ins1220862
7000.0,pp,0.0369,0.0,0.0,242.8,1.5,1.5,10.3,10.3,10.408650248711407,10.408650248711407,ins1220862
7000.0,pp,0.03901,0.0010600000000000054,0.0010599999999999984,231.6,1.5,1.5,9.8,9.8,9.914131328563286,9.914131328563286,ins1220862
7000.0,pp,0.041139999999999996,0.0010699999999999946,0.0010700000000000015,222.2,1.4,1.4,9.4,9.4,9.503683496413379,9.503683496413379,ins1220862
7000.0,pp,0.04329,0.0,0.0,210.9,1.4,1.4,8.9,8.9,9.009439494219382,9.009439494219382,ins1220862
7000.0,pp,0.04548000000000001,0.0011000000000000038,0.0010999999999999968,204.8,1.3,1.3,8.7,8.7,8.796590248499697,8.796590248499697,ins1220862
7000.0,pp,0.04769,0.0,0.0,197.2,1.3,1.3,8.3,8.3,8.40119039184329,8.40119039184329,ins1220862
7000.0,pp,0.04994,0.001129999999999999,0.001129999999999999,187.5,1.3,1.3,7.9,7.9,8.006247560499238,8.006247560499238,ins1220862
7000.0,pp,0.05221,0.0,0.0,178.1,1.2,1.2,7.5,7.5,7.595393340703297,7.595393340703297,ins1220862
